variable,group_a,group_b,z,p_raw,p_holm,significant_holm
studytime,1,2,0.12931835977022946,0.8971057444184118,1.0,False
studytime,1,3,-2.0707593185709583,0.03838129372187351,0.19190646860936755,False
studytime,1,4,-1.354006400403846,0.17573433576188935,0.5342045623819331,False
studytime,2,3,-2.395410480256988,0.016601767675090626,0.09961060605054375,False
studytime,2,4,-1.5002442661663402,0.1335511405954833,0.5342045623819331,False
studytime,3,4,0.15133180757308648,0.8797139793963136,1.0,False
failures,0,1,4.421669568878988,9.794115705405553e-06,4.8970578527027764e-05,True
failures,0,2,4.265612926890007,1.9935414697426834e-05,7.974165878970734e-05,True
failures,0,3,4.792727933859673,1.6452867719046716e-06,9.87172063142803e-06,True
failures,1,2,1.384876584832912,0.16609020793423734,0.3321804158684747,False
failures,1,3,1.9321137749760748,0.05334546448899527,0.1600363934669858,False
failures,2,3,0.47699892949505973,0.6333628839305921,0.6333628839305921,False
Medu,0,1,1.667273393411365,0.09546005468337955,0.566950774281887,False
Medu,0,2,1.2186345750519287,0.22298292001311082,0.8919316800524433,False
Medu,0,3,1.0827483147403019,0.2789201524281525,0.8919316800524433,False
Medu,0,4,0.4920930720982135,0.6226535495713712,1.0,False
Medu,1,2,-1.672164971394433,0.09449179571364784,0.566950774281887,False
Medu,1,3,-2.1417018251581155,0.03221748376455177,0.22552238635186236,False
Medu,1,4,-4.4609386211002615,8.160146121713767e-06,8.160146121713766e-05,True
Medu,2,3,-0.5628948358479937,0.5735064969124593,1.0,False
Medu,2,4,-3.2379533573056696,0.001203904904258786,0.010835144138329074,True
Medu,3,4,-2.6070263370992977,0.009133233502905553,0.07306586802324443,False
Fedu,0,1,1.1947394533519966,0.2321888427021942,1.0,False
Fedu,0,2,0.7905388174213455,0.4292131618588323,1.0,False
Fedu,0,3,0.7833771421789141,0.4334056749146773,1.0,False
Fedu,0,4,0.40793854163569426,0.6833187959632953,1.0,False
Fedu,1,2,-2.014811401769935,0.04392441392607085,0.3953197253346376,False
Fedu,1,3,-1.98419332889178,0.04723429195958196,0.3953197253346376,False
Fedu,1,4,-3.748057132252837,0.00017820966631877162,0.001782096663187716,True
Fedu,2,3,-0.03212163035934024,0.9743750537771242,1.0,False
Fedu,2,4,-1.9703085962209321,0.04880301384396907,0.3953197253346376,False
Fedu,3,4,-1.8755939474500736,0.06071105815089624,0.3953197253346376,False
