analysis,model,subgroup,n,rmse,mae,r2,outside_rate
prediction_bounds,Baseline,all,395,4.585467716647868,3.434930299631469,-0.004300439231571307,0.0
metric_by_school,Baseline,GP,349,4.629638238014741,3.487142287185811,-0.004713648397694836,0.0
metric_by_school,Baseline,MS,46,4.235368872262097,3.0388002201430937,-0.021325104491110025,0.0
prediction_bounds,Model A,all,395,4.368251359528753,3.4021718558423366,0.08859456576676328,0.005063291139240506
metric_by_school,Model A,GP,349,4.371772560822141,3.4101416980879757,0.10409221791862144,0.0057306590257879654
metric_by_school,Model A,MS,46,4.380235490341985,3.3640281136361154,-0.09238680489712747,0.0
prediction_bounds,Model B,all,395,2.0003101664471026,1.3162138791437639,0.8088866361652326,0.0379746835443038
metric_by_school,Model B,GP,349,2.027959930416033,1.3649462091722546,0.8072178015497691,0.04297994269340974
metric_by_school,Model B,MS,46,1.9300780250168026,1.2655750409256972,0.7879045956546955,0.0
ordinal_as_category,Model A,all,395,4.665127306537739,3.5748111141032175,-0.03949731433450343,0.007594936708860759
ordinal_as_category,Model B,all,395,2.146898867259011,1.533349903591219,0.7798495660087823,0.030379746835443037
log1p_absences,Model A,all,395,4.289981229536276,3.3801107204259857,0.12096299879985117,0.002531645569620253
log1p_absences,Model B,all,395,1.9270109223920477,1.3440083377751617,0.8226363062485428,0.04050632911392405
G3_positive_only,Model A,all,357,2.9547592944136944,2.3866867515929107,0.15966970276072578,0.0
G3_positive_only,Model B,all,357,0.8752758069867644,0.6868427001569348,0.9262612695595378,0.0
